s_code,s_name,d_name,c_name,enroll12,num_tst_takr,pct_tst_takr
119966.0,Felicitas and Gonzalo Mendez High,Los Angeles Unified,Los Angeles,247.0,13.0,0.053
122788.0,School for Entrepreneurship and Technology,San Diego Unified,San Diego,56.0,3.0,0.054
4330668.0,Latino College Preparatory Academy,East Side Union High,Santa Clara,93.0,5.0,0.054
3631066.0,Big Bear High,Bear Valley Unified,San Bernardino,167.0,9.0,0.054
107136.0,Whitmore Charter High,Ceres Unified,Stanislaus,37.0,2.0,0.054
1030535.0,Caruthers High,Caruthers Unified,Fresno,145.0,8.0,0.055
1931856.0,Whitman Continuation,Los Angeles Unified,Los Angeles,18.0,1.0,0.056
130534.0,Circle of Independent Learning,Fremont Unified,Alameda,71.0,4.0,0.056
135970.0,Mission Early College High,Santa Clara Unified,Santa Clara,36.0,2.0,0.056
5630363.0,Golden Valley Charter,Mesa Union Elementary,Ventura,18.0,1.0,0.056
106716.0,Hamilton High,Hemet Unified,Riverside,54.0,3.0,0.056
1932532.0,Learning Post High (Alternative),William S. Hart Union High,Los Angeles,71.0,4.0,0.056
132134.0,Phillip J Patino School of Entrepreneurship,Fresno Unified,Fresno,71.0,4.0,0.056
135855.0,Maywood Center for Enriched Studies,Los Angeles Unified,Los Angeles,90.0,5.0,0.056
119222.0,Nea Community Learning Center,Alameda Unified,Alameda,18.0,1.0,0.056
3235603.0,Portola Junior/Senior High,Plumas Unified,Plumas,35.0,2.0,0.057
118919.0,Sierra Pacific High,Hanford Joint Union High,Kings,175.0,10.0,0.057
107284.0,California Virtual Academy @ Sonoma,Liberty Elementary,Sonoma,70.0,4.0,0.057
4930160.0,Elsie Allen High,Santa Rosa High,Sonoma,225.0,13.0,0.058
124503.0,Diego Rivera Learning Complex Green Design STEAM Academy,Los Angeles Unified,Los Angeles,103.0,6.0,0.058
2633006.0,Coleville High,Eastern Sierra Unified,Mono,17.0,1.0,0.059
115238.0,ARISE High,Oakland Unified,Alameda,68.0,4.0,0.059
5738505.0,Winters High,Winters Joint Unified,Yolo,102.0,6.0,0.059
1030477.0,Chesnut High (Continuation),Coalinga-Huron Unified,Fresno,17.0,1.0,0.059
1232909.0,Ferndale High,Ferndale Unified,Humboldt,34.0,2.0,0.059
107052.0,San Diego Business/Leadership,San Diego Unified,San Diego,100.0,6.0,0.06
1939925.0,William Workman High,Hacienda la Puente Unified,Los Angeles,229.0,14.0,0.061
6114748.0,San Jacinto Valley Academy,San Jacinto Unified,Riverside,66.0,4.0,0.061
130393.0,Vineyard Alternative,Livermore Valley Joint Unified,Alameda,49.0,3.0,0.061
4430179.0,SLVUSD Charter,San Lorenzo Valley Unified,Santa Cruz,16.0,1.0,0.062
1434901.0,Lone Pine High,Lone Pine Unified,Inyo,16.0,1.0,0.062
109009.0,Summit Charter Academy,Burton Elementary,Tulare,81.0,5.0,0.062
631259.0,Colusa High,Colusa Unified,Colusa,81.0,5.0,0.062
1235209.0,McKinleyville High,Northern Humboldt Union High,Humboldt,143.0,9.0,0.063
3330354.0,West Shores High,Coachella Valley Unified,Riverside,63.0,4.0,0.063
637504.0,Williams Junior/Senior High,Williams Unified,Colusa,78.0,5.0,0.064
434803.0,Las Plumas High,Oroville Union High,Butte,218.0,14.0,0.064
6119564.0,Dehesa Charter,Dehesa Elementary,San Diego,31.0,2.0,0.065
3730967.0,Oasis High (Alternative),Fallbrook Union High,San Diego,31.0,2.0,0.065
106864.0,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,123.0,8.0,0.065
3530060.0,Anzar High,Aromas - San Juan Unified,San Benito,75.0,5.0,0.067
132019.0,Paseo Grande Charter,Robla Elementary,Sacramento,15.0,1.0,0.067
5030176.0,Oakdale Charter,Oakdale Joint Unified,Stanislaus,15.0,1.0,0.067
3731163.0,Carlsbad Seaside Academy,Carlsbad Unified,San Diego,15.0,1.0,0.067
117762.0,School for the Visual Arts and Humanities,Los Angeles Unified,Los Angeles,87.0,6.0,0.069
101881.0,New Technology High,Sacramento City Unified,Sacramento,43.0,3.0,0.07
130617.0,Oakland Military Institute College Preparatory Academy,Oakland Unified,Alameda,85.0,6.0,0.071
117911.0,New Millennium Secondary,Los Angeles Unified,Los Angeles,42.0,3.0,0.071
3830395.0,S.F. County Opportunity (Hilltop),San Francisco County Office of Education,San Francisco,14.0,1.0,0.071
128561.0,Rocklin Independent Charter Academy,Rocklin Unified,Placer,42.0,3.0,0.071
100750.0,Wallis Annenberg High,Los Angeles Unified,Los Angeles,98.0,7.0,0.071
126003.0,Academies of the Antelope Valley,Antelope Valley Union High,Los Angeles,14.0,1.0,0.071
123349.0,Century Academy,Conejo Valley Unified,Ventura,28.0,2.0,0.071
4930855.0,Cloverdale High,Cloverdale Unified,Sonoma,70.0,5.0,0.071
126573.0,Academy for Multilingual Arts and Science at Mervyn M. Dymally High,Los Angeles Unified,Los Angeles,141.0,10.0,0.071
101170.0,California Military Institute,Perris Union High,Riverside,109.0,8.0,0.073
4830113.0,Elise P. Buckingham Charter Magnet High,Vacaville Unified,Solano,121.0,9.0,0.074
120394.0,Inspire School of Arts and Sciences,Chico Unified,Butte,94.0,7.0,0.074
127787.0,Humanities and Arts (HARTS) Academy of Los Angeles,Los Angeles Unified,Los Angeles,105.0,8.0,0.076
111435.0,Marina High,Monterey Peninsula Unified,Monterey,145.0,11.0,0.076
129320.0,Bonsall High,Bonsall Unified,San Diego,66.0,5.0,0.076
132555.0,Conservatory of Vocal/Instrumental Arts High,Oakland Unified,Alameda,13.0,1.0,0.077
102392.0,Millennium Charter,Tracy Joint Unified,San Joaquin,128.0,10.0,0.078
116723.0,Academy of Careers and Exploration,Helendale Elementary,San Bernardino,63.0,5.0,0.079
3737384.0,Sunset High (Continuation),San Dieguito Union High,San Diego,63.0,5.0,0.079
930073.0,Golden Sierra Junior Senior High,Black Oak Mine Unified,El Dorado,76.0,6.0,0.079
532507.0,Bret Harte Union High,Bret Harte Union High,Calaveras,152.0,12.0,0.079
3730371.0,San Diego SCPA,San Diego Unified,San Diego,165.0,13.0,0.079
107094.0,Kearny College Connections,San Diego Unified,San Diego,100.0,8.0,0.08
6113286.0,Keyes to Learning Charter,Keyes Union,Stanislaus,25.0,2.0,0.08
5032651.0,Hughson High,Hughson Unified,Stanislaus,150.0,12.0,0.08
115030.0,Magnolia Science Academy 3,Los Angeles County Office of Education,Los Angeles,50.0,4.0,0.08
1996495.0,Village Academy High School at Indian Hill,Pomona Unified,Los Angeles,74.0,6.0,0.081
3430626.0,Discovery High,Natomas Unified,Sacramento,74.0,6.0,0.081
111575.0,Animo Ralph Bunche Charter High,Los Angeles Unified,Los Angeles,147.0,12.0,0.082
4530267.0,Shasta Charter Academy,Shasta Union High,Shasta,73.0,6.0,0.082
101675.0,Oscar De La Hoya Animo Charter High,Los Angeles Unified,Los Angeles,144.0,12.0,0.083
129411.0,SCALE Leadership Academy,Acton-Agua Dulce Unified,Los Angeles,12.0,1.0,0.083
3030632.0,OCCS:CHEP/PCHS,Orange County Department of Education,Orange,105.0,9.0,0.086
6066450.0,Madison Park Academy 6-12,Oakland Unified,Alameda,93.0,8.0,0.086
106906.0,Bay Area Technology,Oakland Unified,Alameda,35.0,3.0,0.086
112870.0,Contreras Learning Center-Los Angeles School of Global Studies,Los Angeles Unified,Los Angeles,70.0,6.0,0.086
730473.0,Briones (Alternative),Martinez Unified,Contra Costa,23.0,2.0,0.087
122713.0,River Oaks Academy,Ventura County Office of Education,Ventura,23.0,2.0,0.087
1996305.0,Gorman Learning Center,Gorman Joint,Los Angeles,113.0,10.0,0.088
430827.0,Biggs High,Biggs Unified,Butte,57.0,5.0,0.088
114991.0,CORE Butte Charter,Butte County Office of Education,Butte,113.0,10.0,0.088
130765.0,Magnolia Science Academy Santa Ana,SBE - Magnolia Science Academy Santa Ana,Orange,34.0,3.0,0.088
122366.0,Social Justice Leadership Academy at Esteban E. Torres High No. 5,Los Angeles Unified,Los Angeles,90.0,8.0,0.089
102434.0,Animo South Los Angeles Charter,Los Angeles Unified,Los Angeles,133.0,12.0,0.09
132571.0,Konocti Education Center,Konocti Unified,Lake,22.0,2.0,0.091
124487.0,Public Service Community at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,141.0,13.0,0.092
1736008.0,Middletown High,Middletown Unified,Lake,119.0,11.0,0.092
2335487.0,Willits High,Willits Unified,Mendocino,76.0,7.0,0.092
1995786.0,Vasquez High,Acton-Agua Dulce Unified,Los Angeles,86.0,8.0,0.093
2830115.0,New Technology High,Napa Valley Unified,Napa,97.0,9.0,0.093
106799.0,Learning Choice Academy,San Diego Unified,San Diego,54.0,5.0,0.093
100776.0,North Valley Military Institute College Preparatory Academy,Los Angeles County Office of Education,Los Angeles,54.0,5.0,0.093
117622.0,Magnolia Science Academy 4,Los Angeles Unified,Los Angeles,43.0,4.0,0.093
115998.0,San Pasqual Academy,San Diego County Office of Education,San Diego,32.0,3.0,0.094
6115935.0,CORE Charter,Camptonville Elementary,Yuba,42.0,4.0,0.095
3634169.0,Needles High,Needles Unified,San Bernardino,63.0,6.0,0.095
1531987.0,Desert Junior-Senior High,Muroc Joint Unified,Kern,84.0,8.0,0.095
4135331.0,Pescadero High,La Honda-Pescadero Unified,San Mateo,21.0,2.0,0.095
4135075.0,Oceana High,Jefferson Union High,San Mateo,136.0,13.0,0.096
