s_code,s_name,d_name,c_name,enroll12,num_tst_takr,avg_scr_read,avg_scr_eng,avg_scr_math,avg_scr_sci,num_ge21,pct_ge21,pct_tst_takr
1935519.0,Manual Arts Senior High,Los Angeles Unified,Los Angeles,377.0,80.0,15.0,14.0,16.0,16.0,5.0,0.0625,0.212
118588.0,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382.0,112.0,14.0,14.0,15.0,15.0,7.0,0.0625,0.293
3330818.0,Desert Hot Springs High,Palm Springs Unified,Riverside,417.0,46.0,17.0,16.0,18.0,18.0,3.0,0.0652,0.11
126532.0,Linda Esperanza Marquez High C School of Social Justice,Los Angeles Unified,Los Angeles,122.0,61.0,16.0,15.0,17.0,17.0,4.0,0.06559999999999999,0.5
112037.0,East Valley Senior High,Los Angeles Unified,Los Angeles,141.0,15.0,16.0,15.0,17.0,17.0,1.0,0.0667,0.106
4737250.0,Tulelake High,Tulelake Basin Joint Unified,Modoc,25.0,15.0,18.0,15.0,18.0,18.0,1.0,0.0667,0.6
122721.0,Aspire Pacific Academy,Los Angeles Unified,Los Angeles,97.0,99.0,15.0,14.0,16.0,16.0,7.0,0.0707,1.021
136259.0,Mojave Jr./Sr. High,Mojave Unified,Kern,36.0,27.0,16.0,13.0,16.0,16.0,2.0,0.0741,0.75
127795.0,Contreras Learning Center-School of Social Justice,Los Angeles Unified,Los Angeles,90.0,40.0,16.0,14.0,15.0,15.0,3.0,0.075,0.444
125716.0,Fremont High,Oakland Unified,Alameda,154.0,26.0,14.0,14.0,14.0,14.0,2.0,0.07690000000000001,0.169
126482.0,Augustus F. Hawkins High A Critical Design and Gaming,Los Angeles Unified,Los Angeles,121.0,26.0,16.0,15.0,16.0,16.0,2.0,0.07690000000000001,0.215
3830411.0,Leadership High,San Francisco Unified,San Francisco,75.0,26.0,17.0,15.0,16.0,16.0,2.0,0.07690000000000001,0.347
3330834.0,California School for the Deaf-Riverside,California School for the Deaf-Riverside (State Special Schl),Riverside,76.0,26.0,16.0,14.0,16.0,16.0,2.0,0.07690000000000001,0.342
1995406.0,Littlerock High,Antelope Valley Union High,Los Angeles,336.0,25.0,16.0,15.0,16.0,16.0,2.0,0.08,0.074
116509.0,Alliance Morgan McKinzie High,Los Angeles Unified,Los Angeles,73.0,86.0,15.0,13.0,16.0,16.0,7.0,0.0814,1.178
124891.0,Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,Los Angeles,131.0,147.0,16.0,14.0,16.0,16.0,12.0,0.0816,1.122
1038306.0,Washington High,Washington Unified,Fresno,240.0,121.0,16.0,15.0,16.0,16.0,10.0,0.08259999999999999,0.504
1932383.0,Susan Miller Dorsey Senior High,Los Angeles Unified,Los Angeles,230.0,48.0,16.0,15.0,15.0,15.0,4.0,0.0833,0.209
121285.0,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified,Los Angeles,123.0,155.0,15.0,14.0,16.0,16.0,13.0,0.0839,1.26
3633302.0,Fontana High,Fontana Unified,San Bernardino,538.0,496.0,15.0,13.0,16.0,16.0,42.0,0.08470000000000001,0.922
1030493.0,Mendota High,Mendota Unified,Fresno,223.0,82.0,16.0,15.0,16.0,16.0,7.0,0.08539999999999999,0.368
122374.0,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,Los Angeles Unified,Los Angeles,94.0,23.0,17.0,16.0,18.0,18.0,2.0,0.087,0.245
4330585.0,Downtown College Preparatory,San Jose Unified,Santa Clara,85.0,57.0,16.0,15.0,17.0,17.0,5.0,0.0877,0.671
3430584.0,Natomas High,Natomas Unified,Sacramento,243.0,199.0,15.0,13.0,15.0,15.0,18.0,0.09050000000000001,0.819
109926.0,Academia Avance Charter,SBE - Academia Avance Charter,Los Angeles,65.0,33.0,15.0,15.0,16.0,16.0,3.0,0.0909,0.508
