s_code,s_name,d_name,c_name,enroll12,num_tst_takr12,pct_tst_takr
3430501.0,Walnutwood High (Independent Study),Folsom-Cordova Unified,Sacramento,79.0,1.0,0.012658227848101266
1938513.0,Coronado High (Continuation),West Covina Unified,Los Angeles,157.0,2.0,0.012738853503184714
136473.0,Sweetwater Secondary,SBE - Sweetwater Secondary,San Diego,78.0,1.0,0.01282051282051282
3330115.0,Ortega High,Lake Elsinore Unified,Riverside,233.0,3.0,0.012875536480686695
730424.0,Summit High (Continuation),Mt. Diablo Unified,Contra Costa,74.0,1.0,0.013513513513513514
128462.0,Taylion High Desert Academy/Adelanto,Adelanto Elementary,San Bernardino,142.0,2.0,0.014084507042253521
3434792.0,Kinney High (Continuation),Folsom-Cordova Unified,Sacramento,70.0,1.0,0.014285714285714285
107284.0,California Virtual Academy @ Sonoma,Liberty Elementary,Sonoma,70.0,1.0,0.014285714285714285
5030226.0,Petersen Alternative Center for Education,Stanislaus County Office of Education,Stanislaus,69.0,1.0,0.014492753623188406
4332110.0,Broadway High,San Jose Unified,Santa Clara,138.0,2.0,0.014492753623188406
134304.0,Island High (Continuation),Alameda Unified,Alameda,68.0,1.0,0.014705882352941176
3130309.0,Adelante High (Continuation),Roseville Joint Union High,Placer,67.0,1.0,0.014925373134328358
3430709.0,Folsom Lake High,Folsom-Cordova Unified,Sacramento,66.0,1.0,0.015151515151515152
102103.0,Jordan (June) School for Equity,San Francisco Unified,San Francisco,65.0,1.0,0.015384615384615385
4232690.0,La Cuesta Continuation High,Santa Barbara Unified,Santa Barbara,65.0,1.0,0.015384615384615385
112565.0,New Vision High,Manteca Unified,San Joaquin,65.0,1.0,0.015384615384615385
107151.0,"Escuela Popular/Center for Training and Careers, Family Learning",East Side Union High,Santa Clara,63.0,1.0,0.015873015873015872
1995570.0,Educational Partnership High,Long Beach Unified,Los Angeles,563.0,9.0,0.015985790408525755
1530351.0,Wasco Independence High,Wasco Union High,Kern,62.0,1.0,0.016129032258064516
134247.0,California STEAM San Bernardino,Trona Joint Unified,San Bernardino,305.0,5.0,0.01639344262295082
730184.0,Black Diamond High (Continuation),Pittsburg Unified,Contra Costa,118.0,2.0,0.01694915254237288
136465.0,California STEAM Sonoma II,Guerneville Elementary,Sonoma,59.0,1.0,0.01694915254237288
1995596.0,ABC Secondary (Alternative),ABC Unified,Los Angeles,58.0,1.0,0.017241379310344827
4135687.0,Redwood High,Sequoia Union High,San Mateo,173.0,3.0,0.017341040462427744
3330495.0,Rancho Vista High,Temecula Valley Unified,Riverside,113.0,2.0,0.017699115044247787
3330586.0,Lee V. Pollard High,Corona-Norco Unified,Riverside,339.0,6.0,0.017699115044247787
112276.0,Gold Rush Charter,Summerville Union High,Tuolumne,56.0,1.0,0.017857142857142856
3130036.0,Phoenix High (Continuation),Western Placer Unified,Placer,55.0,1.0,0.01818181818181818
106245.0,North Area Community,Sacramento County Office of Education,Sacramento,55.0,1.0,0.01818181818181818
114504.0,Summit High (Continuation),Desert Sands Unified,Riverside,217.0,4.0,0.018433179723502304
1995695.0,Cesar Chavez Continuation High,Compton Unified,Los Angeles,214.0,4.0,0.018691588785046728
2132264.0,Marin Oaks High,Novato Unified,Marin,53.0,1.0,0.018867924528301886
1995430.0,Independence High (Alternative),Alhambra Unified,Los Angeles,52.0,1.0,0.019230769230769232
